seq1	seq20	608.0
seq2	seq8	416.0
seq2	seq11	424.0
seq2	seq14	1060.0
seq3	seq1	396.0
seq3	seq5	1016.0
seq4	seq16	848.0
seq4	seq17	152.0
seq5	seq1	500.0
seq5	seq3	856.0
seq6	seq7	720.0
seq6	seq9	668.0
seq6	seq12	460.0
seq7	seq9	1044.0
seq7	seq12	820.0
seq8	seq3	644.0
seq8	seq5	540.0
seq8	seq11	1008.0
seq9	seq7	908.0
seq9	seq12	856.0
seq10	seq18	576.0
seq11	seq3	620.0
seq11	seq5	524.0
seq11	seq8	1072.0
seq12	seq7	300.0
seq12	seq9	464.0
seq12	seq15	80.0
seq13	seq4	744.0
seq13	seq16	848.0
seq14	seq2	908.0
seq14	seq8	452.0
seq14	seq11	492.0
seq15	seq10	640.0
seq15	seq18	808.0
seq16	seq4	1032.0
seq16	seq13	288.0
seq16	seq17	80.0
seq18	seq10	904.0
seq18	seq15	184.0
seq19	seq4	388.0
seq19	seq13	732.0
seq19	seq16	492.0
seq20	seq19	428.0
